zip_code,price
601.0,92500.0
602.0,220617.1794871795
603.0,241998.69565217392
604.0,79900.0
605.0,161500.0
606.0,93600.0
610.0,163266.66666666666
612.0,138437.09677419355
613.0,566450.0
617.0,129411.11111111111
622.0,234428.57142857142
623.0,212140.7894736842
624.0,314500.0
627.0,140031.25
630.0,59200.0
636.0,115000.0
637.0,216980.0
638.0,117909.09090909091
639.0,137500.0
641.0,196249.79166666666
646.0,592245.1282051282
647.0,145000.0
650.0,56975.0
652.0,388000.0
653.0,157300.0
656.0,94000.0
659.0,173700.0
660.0,159733.33333333334
661.0,54900.0
662.0,267143.58974358975
664.0,120000.0
667.0,276454.54545454547
669.0,144416.25
670.0,227666.66666666666
674.0,198948.0
676.0,144866.66666666666
677.0,367640.66101694916
678.0,258766.66666666666
680.0,147542.6595744681
682.0,225150.0
683.0,206800.0
685.0,170316.66666666666
687.0,146400.0
688.0,144725.0
692.0,281637.1794871795
693.0,157092.3076923077
694.0,186500.0
698.0,112888.88888888889
703.0,262000.0
705.0,195157.91666666666
707.0,182766.66666666666
714.0,61927.857142857145
715.0,220666.33333333334
716.0,204015.38461538462
717.0,268028.5714285714
718.0,217933.33333333334
719.0,152636.36363636365
720.0,130332.91666666667
721.0,800000.0
723.0,245346.15384615384
725.0,152245.0704225352
726.0,722000.0
727.0,252523.5294117647
728.0,121333.33333333333
729.0,153197.22222222222
730.0,219241.57894736843
731.0,155228.57142857142
735.0,155028.57142857142
736.0,166864.0
737.0,224500.0
738.0,219396.07843137256
739.0,167368.9655172414
741.0,93833.33333333333
745.0,246947.36842105264
751.0,104632.91666666667
754.0,227119.04761904763
757.0,160312.5
765.0,388815.11627906974
766.0,493799.0
767.0,122000.0
769.0,128419.66666666667
771.0,181723.80952380953
772.0,127346.15384615384
773.0,178060.0
775.0,490650.0
777.0,151784.61538461538
778.0,275280.95238095237
782.0,136000.0
783.0,135293.33333333334
784.0,93734.78260869565
791.0,330226.0416666667
792.0,96000.0
794.0,134700.0
795.0,108112.5
796.0,210000.0
802.0,384400.0
820.0,272084.59416445624
830.0,347689.43089430896
840.0,191782.59130434782
850.0,259459.40425531915
873.0,180000.0
901.0,580950.0
906.0,895000.0
907.0,510841.6666666667
909.0,534000.0
910.0,131000.0
911.0,538411.7647058824
912.0,454350.0
913.0,622642.8571428572
915.0,144862.5
917.0,188900.0
918.0,297291.3043478261
920.0,160458.33333333334
921.0,139795.83333333334
923.0,88861.11111111111
924.0,118429.6875
925.0,130875.0
926.0,323801.49606299214
927.0,365961.53846153844
928.0,300000.0
929.0,118000.0
936.0,253750.0
946.0,565000.0
949.0,144206.3725490196
951.0,120000.0
953.0,145240.89743589744
954.0,115000.0
956.0,177114.8148148148
957.0,147258.33333333334
958.0,132650.0
959.0,144363.15789473685
960.0,391000.0
961.0,139175.8620689655
962.0,115962.5
963.0,108000.0
965.0,239263.63636363635
966.0,449912.5
967.0,98500.0
968.0,256800.0
